id,document,toxic,obscene,threat,insult,identity_hate
9976970,아 더빙.. 진짜 짜증나네요 목소리,1,0,0,0,0
9045019,교도소 이야기구먼 ..솔직히 재미는 없다..평점 조정,1,0,0,0,0
5403919,막 걸음마 뗀 3세부터 초등학교 1학년생인 8살용영화.ㅋㅋㅋ...별반개도 아까움.,1,0,0,0,0
7797314,원작의 긴장감을 제대로 살려내지못했다.,1,0,0,0,0
9443947,별 반개도 아깝다 욕나온다 이응경 길용우 연기생활이몇년인지..정말 발로해도 그것보단 낫겟다 납치.감금만반복반복..이드라마는 가족도없다 연기못하는사람만모엿네,1,0,0,0,1
5957425,울면서 손들고 횡단보도 건널때 뛰쳐나올뻔 이범수 연기 드럽게못해,1,0,0,0,1
9864035,취향은 존중한다지만 진짜 내생에 극장에서 본 영화중 가장 노잼 노감동임 스토리도 어거지고 감동도 어거지,1,0,0,0,0
4891476,굿바이 레닌 표절인것은 이해하는데 왜 뒤로 갈수록 재미없어지냐,1,0,0,0,0
9705777,"재미없다 지루하고. 같은 음식 영화인데도 바베트의 만찬하고 넘 차이남....바베트의 만찬은 이야기도 있고 음식 보는재미도 있는데 ; 이건 볼게없다 음식도 별로 안나오고, 핀란드 풍경이라도 구경할랫는데 그것도 별로 안나옴 ㅡㅡ",1,0,0,0,0
8480268,주제는 좋은데 중반부터 지루하다,1,0,0,0,0
4254115,다 짤랐을꺼야. 그래서 납득할 수 없었던거야.. 그럴꺼야.. 꼭 그랬던걸꺼야..,1,0,0,0,0
5457633,카밀라벨 발연기,1,0,0,0,0
9005897,졸쓰레기 진부하고말도안됌ㅋㅋ 아..시간아까워,1,0,0,0,0
9671124,1%라도 기대했던 내가 죄인입니다 죄인입니다....,1,0,0,0,0
7203432,키이라 나이틀리가 연기하고자 했던건 대체 정신장애일까 틱장애일까,1,0,0,0,0
1105872,포스터는 있어보이는데 관객은 114명이네,1,0,0,0,0
9994900,'다 알바생인가 내용도 없고 무서운거도 없고 웃긴거도 하나도 없음 완전 별싱거운 영화.ㅇ.ㅇ내ㅇ시간 넘 아까움 .. . 완전 낚임,1,0,0,0,0
7719892,평점에속지마시길시간낭비 돈낭비임,1,0,0,0,0
9440670,리얼리티가 뛰어나긴 한데 큰 공감은 안간다. 이민기캐릭터는 정신의학상 분노조절장애 초기 증상일거다. 툭하면 사람패고 욕하고 물건 파손하고.. 조금 오바였음. 극 초반엔 신선했는데 가면 갈수록 이민기 정신상태 공감불가.,1,0,1,0,0
7991636,마이너스는 왜없냐 ㅋ 뮤비 보고 영화수준 딱 알만하더군 ㅉㅉ 북한에서 이런거 만들라고 돈 대주던?,1,0,0,0,0
4679407,난 우리영화를 사랑합니다....^^;,1,0,0,0,0
8272095,야 세르게이! 작은고추의 매운맛을 보여주마! 포퐁저그 콩진호가 간다,0,0,0,0,0
7865630,"난또 저 꼬마애가 무슨 원한이 깊길래.,. 했더니 OO 그냥 혼자 나대다 OO걸 어쩌라고.",1,0,0,0,0
717775,심심한영화.,1,0,0,0,0
1031725,보는내내 그대로 들어맞는 예측 카리스마 없는 악역,1,0,0,0,0
3993146,불알이 나와서 당황...아무튼 영화가 중간에 끝나는 느낌,1,0,0,0,0
2196616,평범함속에 녹아든 평범한 일상. 조금 밋밋한게 흠.,1,0,0,0,0
8203798,보던거라 계속보고있는데 전개도 느리고 주인공인 은희는 한두컷 나오면서 소극적인모습에 짜증이 ㅜㅜ 맨날 언제끝나나 기대만하고있어요 전개좀 빨리빨리 ㅜㅜ,1,0,0,0,0
8518645,"예전 작품 캐릭터, 에피소드 재탕 삼탕 사골우려먹듯 우리고 내용은 산으로 가고 시청률은 아예안나오고 이제 70회중반인데 120부작이라니 ...",1,0,0,0,0
7956793,김남길의 백점짜리 연기력과 초반 몰입도에도 불구하고 지루하고 손예진 ㅈㅈ,1,0,0,0,0
8128006,노래실력으로뽑는게 맞냐? 박시환이 mama나가면 진짜 망신이다,1,0,0,0,0
2192046,아 일본영화 다이런건가?? 유치하다,1,0,0,0,0
5679106,졸작,1,0,0,0,0
9048450,어설픈 전개 어이없는 결말,1,0,0,0,0
8387244,부패한 로마노프 왕조를 기리는 뭣같은 영화... 온몸으로 항거했던 러시아 민중들이 그저 폭도냐,1,0,0,0,0
2135015,매우 실망.....,1,0,0,0,0
7884025,한국영화 흥행코드: 갈등-갈등-계~에속 갈등-화해-감동- 평점 10점 남발- 흥행 뻔하지 뭐...,1,0,0,0,0
2009382,뭐냐..시작하고 3분만에 나왔다. 리플릿 사진 보며 불안하더니만..,1,0,0,0,0
7280935,"감독이 럼먹고 영화를 만들었나보다.. 관객에게 뭘 말하는지도 모르겠고, 엉망진창 개진창이다.",1,0,0,0,0
5971506,이건 뭐냐? 우뢰매냐? ;;;,1,0,0,0,0
9875922,정말쓰레기영화입니다,1,0,0,0,0
1927486,별루 였다..,1,0,0,0,0
7852366,성룡영화중 최악인듯 ㅋㅋ,1,0,0,0,0
7928957,클라라볼라고화신본거아닌데,1,0,0,0,0
6158844,재미없음 진심 1이훨나 캐스팅두못한듯,1,0,0,0,0
10273782,감독님들 고은님 쓰면 영화안봅니다 .,1,0,0,0,0
